section,size,stack1,stack2,weight
1,1,4,4,50
1,1,4,6,50
1,1,6,4,50
1,1,6,6,50
1,2,4,4,50
1,2,4,6,50
1,2,6,4,50
1,2,6,6,50
1,3,4,4,50
1,3,4,6,50
1,3,6,4,50
1,3,6,6,50
1,4,4,4,50
1,4,4,6,50
1,4,6,4,50
1,4,6,6,50
1,5,4,4,50
1,5,4,6,50
1,5,6,4,50
1,5,6,6,50
1,6,4,4,50
1,6,4,6,50
1,6,6,4,50
1,6,6,6,50
1,7,4,4,50
1,7,4,6,52
1,7,6,4,52
1,7,6,6,50
1,8,0,4,90
1,8,0,6,90
1,9,0,0,90
2,1,4,4,50
2,1,4,6,50
2,1,6,4,50
2,1,6,6,50
2,2,4,4,50
2,2,4,6,50
2,2,6,4,50
2,2,6,6,50
2,3,4,4,50
2,3,4,6,50
2,3,6,4,50
2,3,6,6,50
2,4,4,4,50
2,4,4,6,50
2,4,6,4,50
2,4,6,6,50
2,5,4,4,50
2,5,4,6,50
2,5,6,4,50
2,5,6,6,50
2,6,4,4,50
2,6,4,6,50
2,6,6,4,50
2,6,6,6,50
2,7,4,4,50
2,7,4,6,50
2,7,6,4,50
2,7,6,6,50
2,8,0,4,10
2,8,0,6,10
2,9,0,0,90
3,1,4,4,50
3,1,4,6,50
3,1,6,4,50
3,1,6,6,50
3,2,4,4,50
3,2,4,6,50
3,2,6,4,50
3,2,6,6,50
3,3,4,4,50
3,3,4,6,50
3,3,6,4,50
3,3,6,6,50
3,4,4,4,50
3,4,4,6,50
3,4,6,4,50
3,4,6,6,50
3,5,4,4,50
3,5,4,6,50
3,5,6,4,50
3,5,6,6,50
3,6,4,4,50
3,6,4,6,50
3,6,6,4,50
3,6,6,6,50
3,7,4,4,50
3,7,4,6,50
3,7,6,4,50
3,7,6,6,50
3,8,0,4,10
3,8,0,6,10
3,9,0,0,10
4,1,4,4,50
4,1,4,6,50
4,1,6,4,50
4,1,6,6,50
4,2,4,4,50
4,2,4,6,50
4,2,6,4,50
4,2,6,6,50
4,3,4,4,50
4,3,4,6,50
4,3,6,4,50
4,3,6,6,50
4,4,4,4,50
4,4,4,6,50
4,4,6,4,50
4,4,6,6,50
4,5,4,4,50
4,5,4,6,50
4,5,6,4,50
4,5,6,6,50
4,6,4,4,50
4,6,4,6,50
4,6,6,4,50
4,6,6,6,50
4,7,4,4,50
4,7,4,6,50
4,7,6,4,50
4,7,6,6,50
4,8,0,4,10
4,8,0,6,10
4,9,0,0,28
5,1,4,4,50
5,1,4,6,50
5,1,6,4,50
5,1,6,6,50
5,2,4,4,50
5,2,4,6,50
5,2,6,4,50
5,2,6,6,50
5,3,4,4,50
5,3,4,6,50
5,3,6,4,50
5,3,6,6,50
5,4,4,4,50
5,4,4,6,50
5,4,6,4,50
5,4,6,6,50
5,5,4,4,50
5,5,4,6,50
5,5,6,4,50
5,5,6,6,50
5,6,4,4,50
5,6,4,6,50
5,6,6,4,50
5,6,6,6,50
5,7,4,4,50
5,7,4,6,50
5,7,6,4,50
5,7,6,6,50
5,8,0,4,10
5,8,0,6,10
5,9,0,0,10
6,1,4,4,50
6,1,4,6,50
6,1,6,4,50
6,1,6,6,50
6,2,4,4,50
6,2,4,6,50
6,2,6,4,50
6,2,6,6,50
6,3,4,4,50
6,3,4,6,50
6,3,6,4,50
6,3,6,6,50
6,4,4,4,50
6,4,4,6,50
6,4,6,4,50
6,4,6,6,50
6,5,4,4,50
6,5,4,6,50
6,5,6,4,50
6,5,6,6,50
6,6,4,4,50
6,6,4,6,50
6,6,6,4,50
6,6,6,6,50
6,7,4,4,50
6,7,4,6,50
6,7,6,4,50
6,7,6,6,50
6,8,0,4,10
6,8,0,6,10
6,9,0,0,29
7,1,4,4,50
7,1,4,6,50
7,1,6,4,50
7,1,6,6,50
7,2,4,4,50
7,2,4,6,50
7,2,6,4,50
7,2,6,6,50
7,3,4,4,50
7,3,4,6,50
7,3,6,4,50
7,3,6,6,50
7,4,4,4,50
7,4,4,6,50
7,4,6,4,50
7,4,6,6,50
7,5,4,4,50
7,5,4,6,50
7,5,6,4,50
7,5,6,6,50
7,6,4,4,50
7,6,4,6,50
7,6,6,4,50
7,6,6,6,50
7,7,4,4,50
7,7,4,6,50
7,7,6,4,50
7,7,6,6,50
7,8,0,4,10
7,8,0,6,10
7,9,0,0,10
8,1,4,4,50
8,1,4,6,50
8,1,6,4,50
8,1,6,6,50
8,2,4,4,50
8,2,4,6,50
8,2,6,4,50
8,2,6,6,50
8,3,4,4,50
8,3,4,6,50
8,3,6,4,50
8,3,6,6,50
8,4,4,4,50
8,4,4,6,50
8,4,6,4,50
8,4,6,6,50
8,5,4,4,50
8,5,4,6,50
8,5,6,4,50
8,5,6,6,50
8,6,4,4,50
8,6,4,6,50
8,6,6,4,50
8,6,6,6,50
8,7,4,4,50
8,7,4,6,50
8,7,6,4,50
8,7,6,6,50
8,8,0,4,10
8,8,0,6,10
8,9,0,0,10
8,1,4,4,50
