section,size,stack1,stack2,weight
1,1,4,4,50
1,1,4,6,50
1,1,6,4,51
1,1,6,6,52
1,2,0,4,90
1,2,0,6,90
1,3,0,0,90
2,1,4,4,50
2,1,4,6,50
2,1,6,4,50
2,1,6,6,50
2,2,0,4,10
2,2,0,6,10
2,3,0,0,90
3,1,4,4,50
3,1,4,6,50
3,1,6,4,50
3,1,6,6,50
3,2,0,4,10
3,2,0,6,10
3,3,0,0,10
4,1,4,4,50
4,1,4,6,50
4,1,6,4,50
4,1,6,6,50
4,2,0,4,10
4,2,0,6,10
4,3,0,0,11
5,1,4,4,50
5,1,4,6,50
5,1,6,4,50
5,1,6,6,50
5,2,0,4,10
5,2,0,6,10
5,3,0,0,10
6,1,4,4,50
6,1,4,6,50
6,1,6,4,50
6,1,6,6,50
6,2,0,4,10
6,2,0,6,10
6,3,0,0,30
7,1,4,4,50
7,1,4,6,50
7,1,6,4,50
7,1,6,6,50
7,2,0,4,10
7,2,0,6,10
7,3,0,0,10
8,1,4,4,50
8,1,4,6,50
8,1,6,4,50
8,1,6,6,50
8,2,0,4,10
8,2,0,6,10
8,3,0,0,10
