case,weight
(2),87
(4),87
"(1, 2)",56
"(1, 4)",40
"(2, 2)",17
"(2, 4)",10
"(3, 2)",10
"(3, 4)",11
"(4, 2)",11
"(4, 4)",10
"(5, 2)",10
"(5, 4)",50
"(6, 2)",10
"(6, 4)",50
"(7, 2)",50
"(7, 4)",10
"(8, 2)",50
"(8, 4)",10
"(9, 0)",10
"(1, 2)",76
"(1, 4)",14
"(2, 2)",14
"(2, 4)",15
"(3, 2)",11
"(3, 4)",19
"(4, 2)",10
"(4, 4)",15
"(5, 2)",10
"(5, 4)",50
"(6, 2)",90
"(6, 4)",50
"(7, 2)",50
"(7, 4)",90
"(8, 2)",50
"(8, 4)",10
"(9, 0)",10
"(1, 2)",19
"(1, 4)",85
"(2, 2)",13
"(2, 4)",19
"(3, 2)",47
"(3, 4)",15
"(4, 2)",11
"(4, 4)",10
"(5, 2)",10
"(5, 4)",50
"(6, 2)",10
"(6, 4)",50
"(7, 2)",50
"(7, 4)",10
"(8, 2)",50
"(8, 4)",90
"(9, 0)",90
"(1, 2)",88
"(1, 4)",89
"(2, 2)",89
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",50
"(6, 2)",10
"(6, 4)",50
"(7, 2)",50
"(7, 4)",10
"(8, 2)",50
"(8, 4)",10
"(9, 0)",10
"(1, 2)",89
"(1, 4)",83
"(2, 2)",68
"(2, 4)",33
"(3, 2)",27
"(3, 4)",71
"(4, 2)",59
"(4, 4)",54
"(5, 2)",10
"(5, 4)",50
"(6, 2)",74
"(6, 4)",50
"(7, 2)",50
"(7, 4)",71
"(8, 2)",50
"(8, 4)",87
"(9, 0)",20
tt,10
tt,90
