case,weight
(2),60
(4),51
"(1, 2)",82
"(1, 4)",54
"(2, 2)",90
"(2, 4)",69
"(3, 2)",90
"(3, 4)",64
"(4, 2)",90
"(4, 4)",58
"(5, 2)",90
"(5, 4)",22
"(6, 2)",90
"(6, 4)",14
"(7, 2)",87
"(7, 4)",11
"(8, 2)",67
"(8, 4)",10
"(9, 0)",10
"(1, 2)",81
"(1, 4)",60
"(2, 2)",83
"(2, 4)",51
"(3, 2)",90
"(3, 4)",67
"(4, 2)",90
"(4, 4)",70
"(5, 2)",90
"(5, 4)",38
"(6, 2)",90
"(6, 4)",49
"(7, 2)",90
"(7, 4)",25
"(8, 2)",90
"(8, 4)",32
"(9, 0)",15
"(1, 2)",10
"(1, 4)",54
"(2, 2)",10
"(2, 4)",61
"(3, 2)",10
"(3, 4)",71
"(4, 2)",10
"(4, 4)",87
"(5, 2)",10
"(5, 4)",90
"(6, 2)",10
"(6, 4)",90
"(7, 2)",10
"(7, 4)",90
"(8, 2)",10
"(8, 4)",90
"(9, 0)",90
"(1, 2)",10
"(1, 4)",27
"(2, 2)",10
"(2, 4)",10
"(3, 2)",10
"(3, 4)",10
"(4, 2)",10
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 2)",10
"(7, 4)",10
"(8, 2)",10
"(8, 4)",10
"(9, 0)",10
"(1, 2)",29
"(1, 4)",52
"(2, 2)",33
"(2, 4)",49
"(3, 2)",45
"(3, 4)",48
"(4, 2)",62
"(4, 4)",54
"(5, 2)",49
"(5, 4)",37
"(6, 2)",59
"(6, 4)",62
"(7, 2)",45
"(7, 4)",46
"(8, 2)",61
"(8, 4)",42
"(9, 0)",51
tt,10
tt,90
