case,weight
(2),43
(4),12
(2),22
(4),75
(2),78
(4),28
"(1, 2)",29
"(1, 4)",74
"(2, 2)",12
"(2, 4)",14
"(3, 2)",14
"(3, 4)",10
"(4, 2)",11
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 2)",10
"(7, 4)",10
"(8, 2)",11
"(8, 4)",10
"(9, 0)",10
"(1, 2)",90
"(1, 4)",90
"(2, 2)",90
"(2, 4)",90
"(3, 2)",90
"(3, 4)",89
"(4, 2)",89
"(4, 4)",90
"(5, 2)",88
"(5, 4)",90
"(6, 2)",90
"(6, 4)",90
"(7, 2)",90
"(7, 4)",90
"(8, 2)",90
"(8, 4)",90
"(9, 0)",90
"(1, 2)",90
"(1, 4)",89
"(2, 2)",90
"(2, 4)",90
"(3, 2)",90
"(3, 4)",90
"(4, 2)",90
"(4, 4)",90
"(5, 2)",90
"(5, 4)",89
"(6, 2)",90
"(6, 4)",90
"(7, 2)",90
"(7, 4)",90
"(8, 2)",90
"(8, 4)",90
"(9, 0)",90
"(1, 2)",10
"(1, 4)",10
"(2, 2)",10
"(2, 4)",10
"(3, 2)",10
"(3, 4)",10
"(4, 2)",10
"(4, 4)",10
"(5, 2)",10
"(5, 4)",10
"(6, 2)",10
"(6, 4)",10
"(7, 2)",10
"(7, 4)",10
"(8, 2)",10
"(8, 4)",10
"(9, 0)",10
"(1, 2)",41
"(1, 4)",63
"(2, 2)",11
"(2, 4)",50
"(3, 2)",55
"(3, 4)",62
"(4, 2)",73
"(4, 4)",22
"(5, 2)",75
"(5, 4)",35
"(6, 2)",37
"(6, 4)",51
"(7, 2)",65
"(7, 4)",44
"(8, 2)",13
"(8, 4)",13
"(9, 0)",71
"(1, 2)",17
"(1, 4)",53
"(2, 2)",57
"(2, 4)",50
"(3, 2)",70
"(3, 4)",47
"(4, 2)",58
"(4, 4)",70
"(5, 2)",15
"(5, 4)",60
"(6, 2)",77
"(6, 4)",53
"(7, 2)",42
"(7, 4)",20
"(8, 2)",64
"(8, 4)",55
"(9, 0)",32
"(1, 2)",27
"(1, 4)",70
"(2, 2)",58
"(2, 4)",55
"(3, 2)",31
"(3, 4)",20
"(4, 2)",84
"(4, 4)",20
"(5, 2)",52
"(5, 4)",81
"(6, 2)",52
"(6, 4)",42
"(7, 2)",46
"(7, 4)",77
"(8, 2)",35
"(8, 4)",53
"(9, 0)",28
tt,10
tt,90
