test,true,false,time
is_sticky,987,13,0.169799
is_left_sticky,958,42,0.168918
is_right_sticky,960,40,0.169427
is_rl_balanced,943,57,0.241067
(is_height_x 0),898,102,0.168984
(is_height_x 1),54,946,0.161187
(is_height_x 2),16,984,0.169816
(is_height_x 3),9,991,0.166525
(is_height_x 4),27,973,0.241029
(is_sticky_and_height_x 0),908,92,0.166722
(is_sticky_and_height_x 1),50,950,0.172390
(is_sticky_and_height_x 2),18,982,0.163325
(is_sticky_and_height_x 3),6,994,0.162723
(is_sticky_and_height_x 4),15,985,0.249108
(is_prop_and_height_x is_rl_balanced 0),894,106,0.179035
(is_prop_and_height_x is_rl_balanced 1),53,947,0.175085
(is_prop_and_height_x is_rl_balanced 2),,1000,0.159607
(is_prop_and_height_x is_rl_balanced 3),7,993,0.162819
(is_prop_and_height_x is_rl_balanced 4),,1000,0.238803
